; CODIGO   ; NOMBRE             ; CATEGORIA                  ; Pventa ; PCompra ;
; S24_1937 ;1939 Chevrolet Deluxe Coupe ;Vintage Cars ;22.57 ;33.19 ;
; S24_2840 ;1958 Chevy Corvette Limited Edition ;Classic Cars ;15.91 ;35.36 ;
; S24_2972 ;1982 Lamborghini Diablo ;Classic Cars ;16.24 ;37.76 ;
; S32_2206 ;1982 Ducati 996 R ;Motorcycles ;24.14 ;40.23 ;
; S24_3969 ;1936 Mercedes Benz 500k Roadster ;Vintage Cars ;21.75 ;41.03 ;
; S50_1341 ;1930 Buick Marquette Phaeton ;Vintage Cars ;27.06 ;43.64 ;
; S24_2022 ;1938 Cadillac V-16 Presidential Limousine ;Vintage Cars ;20.61 ;44.80 ;
; S72_1253 ;Boeing X-32A JSF ;Planes ;32.77 ;49.66 ;
; S18_4668 ;1939 Cadillac Limousine ;Vintage Cars ;23.14 ;50.31 ;
; S24_1628 ;1966 Shelby Cobra 427 S/C ;Classic Cars ;29.18 ;50.31 ;
; S18_1367 ;1936 Mercedes-Benz 500K Special Roadster ;Vintage Cars ;24.26 ;53.91 ;
; S32_2509 ;1954 Greyhound Scenicruiser ;Trucks and Buses ;25.98 ;54.11 ;
; S72_3212 ;Pont Yacht ;Ships ;33.30 ;54.60 ;
; S24_1444 ;1970 Dodge Coronet ;Classic Cars ;32.37 ;57.80 ;
; S50_1514 ;1962 City of Detroit Streetcar ;Trains ;37.49 ;58.58 ;
; S18_2248 ;1911 Ford Town Car ;Vintage Cars ;33.30 ;60.54 ;
; S18_2625 ;1936 Harley Davidson El Knucklehead ;Motorcycles ;24.23 ;60.57 ;
; S18_2432 ;1926 Ford Fire Engine ;Trucks and Buses ;24.92 ;60.77 ;
; S24_3371 ;1971 Alpine Renault 1600s ;Classic Cars ;38.58 ;61.23 ;
; S32_3207 ;1950's Chicago Surface Lines Streetcar ;Trains ;26.72 ;62.14 ;
; S18_3782 ;1957 Vespa GS150 ;Motorcycles ;32.95 ;62.17 ;
; S18_2957 ;1934 Ford V8 Coupe ;Vintage Cars ;34.35 ;62.46 ;
; S32_3522 ;1996 Peterbilt 379 Stake Bed with Outrigger ;Trucks and Buses ;33.61 ;64.64 ;
; S24_3420 ;1937 Horch 930V Limousine ;Vintage Cars ;26.30 ;65.75 ;
; S700_1138 ;The Schooner Bluenose ;Ships ;34.00 ;66.67 ;
; S24_3949 ;Corsair F4U ( Bird Cage) ;Planes ;29.34 ;68.24 ;
; S24_2841 ;1900s Vintage Bi-Plane ;Planes ;34.25 ;68.51 ;
; S32_4289 ;1928 Ford Phaeton Deluxe ;Vintage Cars ;33.02 ;68.79 ;
; S24_2360 ;1982 Ducati 900 Monster ;Motorcycles ;47.10 ;69.26 ;
; S18_4933 ;1957 Ford Thunderbird ;Classic Cars ;34.21 ;71.27 ;
; S700_2610 ;The USS Constitution Ship ;Ships ;33.97 ;72.28 ;
; S24_4278 ;1900s Vintage Tri-Plane ;Planes ;36.23 ;72.45 ;
; S24_1046 ;1970 Chevy Chevelle SS 454 ;Classic Cars ;49.24 ;73.49 ;
; S700_4002 ;American Airlines: MD-11S ;Planes ;36.27 ;74.03 ;
; S24_2000 ;1960 BSA Gold Star DBD34 ;Motorcycles ;37.32 ;76.17 ;
; S18_1889 ;1948 Porsche 356-A Roadster ;Classic Cars ;53.90 ;77.00 ;
; S12_3990 ;1970 Plymouth Hemi Cuda ;Classic Cars ;31.92 ;79.80 ;
; S700_3167 ;F/A 18 Hornet 1/72 ;Planes ;54.40 ;80.00 ;
; S18_3278 ;1969 Dodge Super Bee ;Classic Cars ;49.05 ;80.41 ;
; S24_4620 ;1961 Chevrolet Impala ;Classic Cars ;32.33 ;80.84 ;
; S50_4713 ;2002 Yamaha YZR M1 ;Motorcycles ;34.17 ;81.36 ;
; S24_3816 ;1940 Ford Delivery Sedan ;Vintage Cars ;48.64 ;83.86 ;
; S18_2581 ;P-51-D Mustang ;Planes ;49.00 ;84.48 ;
; S24_3191 ;1969 Chevrolet Camaro Z28 ;Classic Cars ;50.51 ;85.61 ;
; S18_3029 ;1999 Yamaha Speed Boat ;Ships ;51.61 ;86.02 ;
; S700_1938 ;The Mayflower ;Ships ;43.30 ;86.61 ;
; S18_4522 ;1904 Buick Runabout ;Vintage Cars ;52.66 ;87.77 ;
; S24_3151 ;1912 Ford Model T Delivery Wagon ;Vintage Cars ;46.91 ;88.51 ;
; S700_2047 ;HMS Bounty ;Ships ;39.83 ;90.52 ;
; S24_2766 ;1949 Jaguar XK 120 ;Classic Cars ;47.25 ;90.87 ;
; S700_1691 ;American Airlines: B767-300 ;Planes ;51.15 ;91.34 ;
; S18_4409 ;1932 Alfa Romeo 8C2300 Spider Sport ;Vintage Cars ;43.26 ;92.03 ;
; S10_1678 ;1969 Harley Davidson Ultimate Chopper ;Motorcycles ;48.81 ;95.70 ;
; S32_1268 ;1980’s GM Manhattan Express ;Trucks and Buses ;53.93 ;96.31 ;
; S24_4258 ;1936 Chrysler Airflow ;Vintage Cars ;57.46 ;97.39 ;
; S18_3320 ;1917 Maxwell Touring Car ;Vintage Cars ;57.54 ;99.21 ;
; S700_3962 ;The Queen Mary ;Ships ;53.63 ;99.31 ;
; S700_2466 ;America West Airlines B757-200 ;Planes ;68.80 ;99.72 ;
; S32_1374 ;1997 BMW F650 ST ;Motorcycles ;66.92 ;99.89 ;
; S700_3505 ;The Titanic ;Ships ;51.09 ;100.17 ;
; S18_3259 ;Collectable Wooden Train ;Trains ;67.56 ;100.84 ;
; S700_2824 ;1982 Camaro Z28 ;Classic Cars ;46.53 ;101.15 ;
; S18_2949 ;1913 Ford Model T Speedster ;Vintage Cars ;60.78 ;101.31 ;
; S32_4485 ;1974 Ducati 350 Mk3 Desmo ;Motorcycles ;56.13 ;102.05 ;
; S18_1342 ;1937 Lincoln Berline ;Vintage Cars ;60.62 ;102.74 ;
; S18_3136 ;18th Century Vintage Horse Carriage ;Vintage Cars ;60.74 ;104.72 ;
; S18_3856 ;1941 Chevrolet Special Deluxe Cabriolet ;Vintage Cars ;64.58 ;105.87 ;
; S24_3432 ;2002 Chevy Corvette ;Classic Cars ;62.11 ;107.08 ;
; S18_3233 ;1985 Toyota Supra ;Classic Cars ;57.01 ;107.57 ;
; S24_1785 ;1928 British Royal Navy Airplane ;Planes ;66.74 ;109.42 ;
; S24_1578 ;1997 BMW R 1100 S ;Motorcycles ;60.86 ;112.70 ;
; S12_4675 ;1969 Dodge Charger ;Classic Cars ;58.73 ;115.16 ;
; S50_1392 ;Diamond T620 Semi-Skirted Tanker ;Trucks and Buses ;68.29 ;115.75 ;
; S18_1097 ;1940 Ford Pickup Truck ;Trucks and Buses ;58.33 ;116.67 ;
; S12_3380 ;1968 Dodge Charger ;Classic Cars ;75.16 ;117.44 ;
; S24_2887 ;1952 Citroen-15CV ;Classic Cars ;72.82 ;117.44 ;
; S24_4048 ;1992 Porsche Cayenne Turbo Silver ;Classic Cars ;69.78 ;118.28 ;
; S12_4473 ;1957 Chevy Pickup ;Trucks and Buses ;55.70 ;118.50 ;
; S700_2834 ;ATA: B757-300 ;Planes ;59.33 ;118.65 ;
; S10_2016 ;1996 Moto Guzzi 1100i ;Motorcycles ;68.99 ;118.94 ;
; S18_4600 ;1940s Ford truck ;Trucks and Buses ;84.76 ;121.08 ;
; S18_2319 ;1964 Mercedes Tour Bus ;Trucks and Buses ;74.86 ;122.73 ;
; S24_2011 ;18th century schooner ;Ships ;82.34 ;122.89 ;
