nombre;telefono;ciudad;pais;
Atelier graphique;40.32.2555;Nantes;France;
Signal Gift Stores;7025551838;Las Vegas;USA;
Australian Collectors, Co.;03 9520 4555;Melbourne;Australia;
La Rochelle Gifts;40.67.8555;Nantes;France;
Baane Mini Imports;07-98 9555;Stavern;Norway;
Mini Gifts Distributors Ltd.;4155551450;San Rafael;USA;
Havel & Zbyszek Co;(26) 642-7555;Warszawa;Poland;
Blauer See Auto, Co.;+49 69 66 90 2555;Frankfurt;Germany;
Mini Wheels Co.;6505555787;San Francisco;USA;
Land of Toys Inc.;2125557818;NYC;USA;
Euro+ Shopping Channel;(91) 555 94 44;Madrid;Spain;
Volvo Model Replicas, Co;0921-12 3555;Luleå;Sweden;
Danish Wholesale Imports;31 12 3555;Kobenhavn;Denmark;
Saveley & Henriot, Co.;78.32.5555;Lyon;France;
Dragon Souveniers, Ltd.;+65 221 7555;Singapore;Singapore;
Muscle Machine Inc;2125557413;NYC;USA;
Diecast Classics Inc.;2155551555;Allentown;USA;
Technics Stores Inc.;6505556809;Burlingame;USA;
Handji Gifts& Co;+65 224 1555;Singapore;Singapore;
Herkku Gifts;+47 2267 3215;Bergen;Norway  ;
American Souvenirs Inc;2035557845;New Haven;USA;
Porto Imports Co.;(1) 356-5555;Lisboa;Portugal;
Daedalus Designs Imports;20.16.1555;Lille;France;
La Corne D'abondance, Co.;(1) 42.34.2555;Paris;France;
Cambridge Collectables Co.;6175555555;Cambridge;USA;
Gift Depot Inc.;2035552570;Bridgewater;USA;
Osaka Souveniers Co.;+81 06 6342 5555;Kita-ku;Japan;
Vitachrome Inc.;2125551500;NYC;USA;
Toys of Finland, Co.;90-224 8555;Helsinki;Finland;
AV Stores, Co.;(171) 555-1555;Manchester;UK;
Clover Collections, Co.;+353 1862 1555;Dublin;Ireland;
Auto-Moto Classics Inc.;6175558428;Brickhaven;USA;
UK Collectables, Ltd.;(171) 555-2282;Liverpool;UK;
Canadian Gift Exchange Network;(604) 555-3392;Vancouver;Canada;
Online Mini Collectables;6175557555;Brickhaven;USA;
Toys4GrownUps.com;6265557265;Pasadena;USA;
Asian Shopping Network, Co;+612 9411 1555;Singapore;Singapore;
Mini Caravy;88.60.1555;Strasbourg;France;
King Kong Collectables, Co.;+852 2251 1555;Central Hong Kong;Hong Kong;
Enaco Distributors;(93) 203 4555;Barcelona;Spain;
Boards & Toys Co.;3105552373;Glendale;USA;
Natürlich Autos;0372-555188;Cunewalde;Germany;
Heintze Collectables;86 21 3555;Århus;Denmark;
Québec Home Shopping Network;(514) 555-8054;Montréal;Canada;
ANG Resellers;(91) 745 6555;Madrid;Spain;
Collectable Mini Designs Co.;7605558146;San Diego;USA;
giftsbymail.co.uk;(198) 555-8888;Cowes;UK;
Alpha Cognac;61.77.6555;Toulouse;France;
Messner Shopping Network;069-0555984;Frankfurt;Germany;
Amica Models & Co.;011-4988555;Torino;Italy;
Lyon Souveniers;+33 1 46 62 7555;Paris;France;
Auto Associés & Cie.;30.59.8555;Versailles;France;
Toms Spezialitäten, Ltd;0221-5554327;Köln;Germany;
Royal Canadian Collectables, Ltd.;(604) 555-4555;Tsawassen;Canada;
Franken Gifts, Co;089-0877555;München;Germany;
Anna's Decorations, Ltd;02 9936 8555;North Sydney;Australia;
Rovelli Gifts;035-640555;Bergamo;Italy;
Souveniers And Things Co.;+61 2 9495 8555;Chatswood;Australia;
